COUNTRY,CUISINES,RESTAURANT COUNTS
Philippines,Steak,2
Philippines,Desserts,11
Philippines,Cafe,31
Philippines,Swiss,1
Philippines,Indian,4
Philippines,Korean,15
Philippines,Mexican,8
Philippines,Seafood,10
Philippines,American,43
Philippines,Grill,3
Philippines,Sushi,4
Philippines,Pizza,1
Philippines,German,1
Philippines,Chinese,10
Philippines,Greek,1
Philippines,French,2
Philippines,Mediterranean,2
Philippines,Ramen,4
Philippines,Spanish,3
Philippines,Burger,4
Philippines,Thai,1
Philippines,Dim Sum,2
Philippines,Malaysian,1
Philippines,European,9
Philippines,Japanese,22
Philippines,Bakery,11
Philippines,Beverages,2
Philippines,Italian,11
Philippines,Filipino,47
Philippines,International,1
Philippines,Latin American,1
Philippines,Ice Cream,1
Philippines,Vietnamese,1
Philippines,Asian,21
Philippines,Mongolian,1
Philippines,Fast Food,2
Sri Lanka,Steak,3
Sri Lanka,Thai,1
Sri Lanka,Healthy Food,1
Sri Lanka,Sri Lankan,6
Sri Lanka,Malaysian,1
Sri Lanka,British,2
Sri Lanka,Chinese,5
Sri Lanka,Mughlai,1
Sri Lanka,Desserts,7
Sri Lanka,North Indian,5
Sri Lanka,Cafe,8
Sri Lanka,Beverages,2
Sri Lanka,Italian,8
Sri Lanka,Juices,3
Sri Lanka,Seafood,7
Sri Lanka,Bakery,2
Sri Lanka,American,10
Sri Lanka,Continental,4
Sri Lanka,Ice Cream,2
Sri Lanka,Finger Food,2
Sri Lanka,Pizza,2
Sri Lanka,European,1
Sri Lanka,South Indian,1
Sri Lanka,Fast Food,7
Poland,Steak,13
Poland,Drinks Only,1
Poland,African,1
Poland,Turkish,5
Poland,,1
Poland,Jewish,5
Poland,Desserts,110
Poland,International,57
Poland,Balkans,3
Poland,Cafe,72
Poland,Healthy Food,54
Poland,Indian,17
Poland,Korean,5
Poland,Kebab,3
Poland,Arabian,3
Poland,Italian,145
Poland,Lithuanian,6
Poland,Seafood,10
Poland,Others,5
Poland,American,42
Poland,Grill,43
Poland,Finger Food,70
Poland,Pizza,124
Poland,Hungarian,5
Poland,German,1
Poland,Chinese,14
Poland,Czech,8
Poland,Vietnamese,8
Poland,Greek,11
Poland,French,16
Poland,Russian,4
Poland,Spanish,10
Poland,Burger,40
Poland,Thai,14
Poland,Caribbean,3
Poland,Lucknowi,3
Poland,European,59
Poland,Kebabs,5
Poland,Japanese,31
Poland,Bakery,2
Poland,Beverages,1
Poland,Israeli,2
Poland,Georgian,4
Poland,Polish,214
Poland,Moroccan,1
Poland,Tea,1
Poland,Bagels,1
Poland,Mediterranean,49
Poland,Austrian,2
Poland,Ukrainian,5
Poland,Coffee and Tea,1
Poland,Ice Cream,6
Poland,Mexican,20
Poland,Asian,17
Poland,Sushi,32
Poland,Fast Food,1
Poland,Tex-Mex,9
Singapore,Burger,2
Singapore,Steak,2
Singapore,Middle Eastern,1
Singapore,Western,1
Singapore,German,1
Singapore,Singaporean,4
Singapore,European,4
Singapore,Malay,1
Singapore,North Indian,1
Singapore,Japanese,1
Singapore,Cafe,7
Singapore,Indian,3
Singapore,Italian,2
Singapore,Fast Food,3
Singapore,French,5
Singapore,Asian,3
Singapore,Seafood,3
Singapore,Bakery,4
Singapore,American,8
Singapore,Continental,4
Singapore,Fusion,4
Singapore,Finger Food,1
Singapore,South Indian,1
Singapore,Dim Sum,2
Singapore,Chinese,4
Singapore,Bar Food,1
Singapore,Cantonese,3
Singapore,Australian,2
Singapore,Mexican,1
Singapore,Mediterranean,1
Turkey,,7
Turkey,Steak,10
Turkey,Turkish Pizza,22
Turkey,Turkish,40
Turkey,Döner,16
Turkey,Drinks Only,5
Turkey,Desserts,41
Turkey,Çiğ Köfte,1
Turkey,Cafe,123
Turkey,Giblets,15
Turkey,Patisserie,23
Turkey,Mexican,2
Turkey,Breakfast,1
Turkey,South East,1
Turkey,Seafood,49
Turkey,American,1
Turkey,Grill,6
Turkey,Finger Food,12
Turkey,Pizza,9
Turkey,Bar Food,8
Turkey,Greek,2
Turkey,Kebab,66
Turkey,Mediterranean,8
Turkey,Spanish,1
Turkey,Black Sea,1
Turkey,Aegean,18
Turkey,Chinese,2
Turkey,Japanese,1
Turkey,Bakery,3
Turkey,Börek,5
Turkey,Kumpir,1
Turkey,Italian,10
Turkey,World Cuisine,34
Turkey,Fresh Fish,54
Turkey,Izgara,47
Turkey,Coffee and Tea,10
Turkey,Ice Cream,7
Turkey,Old Turkish Bars,21
Turkey,Home-made,22
