COUNTRY,CUISINES,RESTAURANT COUNTS
United Kingdom,Japanese,33
United Kingdom,Fusion,5
United Kingdom,Eastern European,1
United Kingdom,Asian,12
United Kingdom,European,16
United Kingdom,Sandwich,15
United Kingdom,Finger Food,1
United Kingdom,Turkish,4
United Kingdom,Vietnamese,3
United Kingdom,Pizza,22
United Kingdom,Taiwanese,1
United Kingdom,Breakfast,33
United Kingdom,Mexican,24
United Kingdom,International,39
United Kingdom,Steak,35
United Kingdom,Greek,6
United Kingdom,Contemporary,4
United Kingdom,Pakistani,8
United Kingdom,Lebanese,1
United Kingdom,Fast Food,5
United Kingdom,Hawaiian,1
United Kingdom,Scottish,44
United Kingdom,Latin American,9
United Kingdom,Dim Sum,3
Ireland,American,2
Ireland,Fish and Chips,1
Ireland,Bakery,3
Ireland,Tapas,2
Ireland,Chinese,2
Ireland,Steak,3
Ireland,Italian,1
Ireland,Drinks Only,1
Ireland,Fast Food,1
Ireland,Crepes,1
Ireland,Irish,4
Ireland,Modern European,8
Ireland,Asian,3
Ireland,Sandwich,1
Ireland,Burger,2
Ireland,Desserts,1
Ireland,Cafe,12
Ireland,Seafood,2
Ireland,Healthy Food,1
Ireland,Pizza,4
Ireland,Pub Food,5
Singapore,Bakery,4
Singapore,Bar Food,1
Singapore,Western,1
Singapore,North Indian,1
Singapore,American,8
Singapore,Chinese,4
Singapore,Malay,1
Singapore,Finger Food,1
Singapore,Steak,2
Singapore,South Indian,1
Singapore,Italian,2
Singapore,Mediterranean,1
Singapore,Australian,2
Singapore,Continental,4
Singapore,Fast Food,3
Singapore,Fusion,4
Singapore,German,1
Singapore,Asian,3
Singapore,Indian,3
Singapore,European,4
Singapore,Singaporean,4
Singapore,Burger,2
Singapore,Dim Sum,2
Singapore,French,5
Singapore,Mexican,1
Singapore,Middle Eastern,1
Singapore,Cantonese,3
Singapore,Cafe,7
Singapore,Seafood,3
Singapore,Japanese,1
India,Goan,22
India,Thai,54
India,Portuguese,1
India,American,61
India,Italian,225
India,Drinks Only,1
India,Beverages,27
India,Belgian,1
India,Juices,7
India,German,4
India,Indian,7
India,Grill,1
India,Indonesian,2
India,Hyderabadi,4
India,Desserts,90
India,Seafood,47
India,Modern Indian,15
India,Tea,5
India,Lucknowi,4
India,Andhra,6
India,North Indian,485
India,Bakery,46
India,Steak,5
India,Chinese,338
India,Gujarati,9
India,Healthy Food,7
India,Mediterranean,43
India,Middle Eastern,3
India,Russian,1
India,Street Food,34
India,Awadhi,3
India,Singaporean,2
India,Burger,23
India,Malaysian,6
India,French,11
India,Tex-Mex,9
India,Assamese,1
India,Armenian,1
India,North Eastern,1
India,British,1
India,Salad,9
India,Korean,4
India,Chettinad,5
India,Spanish,3
India,Charcoal Grill,3
India,Tibetan,5
India,Bengali,6
India,South Indian,91
India,Kerala,10
India,Continental,277
India,Ice Cream,14
India,Japanese,12
India,Asian,65
India,Mithai,5
India,European,55
India,Sandwich,1
India,Finger Food,29
India,Turkish,2
India,Vietnamese,3
India,Pizza,48
India,South American,1
India,Parsi,2
India,Mexican,78
India,Cafe,201
India,Arabian,5
India,Fast Food,144
India,Greek,5
India,Biryani,23
India,Lebanese,15
India,Rajasthani,12
India,Maharashtrian,5
India,Burmese,2
India,Mangalorean,1
India,Bihari,1
India,Chili,1
India,Mughlai,75
New Zealand,,2
New Zealand,Thai,23
New Zealand,Fish and Chips,8
New Zealand,Filipino,1
New Zealand,Latin American,2
New Zealand,Korean,5
New Zealand,British,3
New Zealand,Chinese,18
New Zealand,Italian,43
New Zealand,African,1
New Zealand,Beverages,1
New Zealand,South Indian,3
New Zealand,Mexican,15
New Zealand,Mongolian,3
New Zealand,Asian Fusion,2
New Zealand,Ice Cream,6
New Zealand,Japanese,24
New Zealand,Fusion,2
New Zealand,German,1
New Zealand,Asian,40
New Zealand,Indian,22
New Zealand,Grill,3
New Zealand,European,85
New Zealand,Finger Food,2
New Zealand,Indonesian,1
New Zealand,Turkish,6
New Zealand,Kiwi,42
New Zealand,Desserts,17
New Zealand,Vietnamese,5
New Zealand,Seafood,26
New Zealand,Healthy Food,1
New Zealand,Pizza,34
New Zealand,Taiwanese,1
New Zealand,BBQ,2
New Zealand,Breakfast,7
New Zealand,Pacific,9
New Zealand,American,23
New Zealand,Bar Food,2
New Zealand,North Indian,16
New Zealand,Bakery,5
New Zealand,International,3
New Zealand,Spanish,3
New Zealand,Fast Food,16
New Zealand,Greek,1
New Zealand,Mediterranean,19
New Zealand,Middle Eastern,4
New Zealand,Others,6
New Zealand,Steak,20
New Zealand,Street Food,1
New Zealand,Coffee and Tea,1
New Zealand,Moroccan,1
New Zealand,Burger,3
New Zealand,Malaysian,7
New Zealand,Sushi,8
New Zealand,French,14
New Zealand,Pub Food,1
New Zealand,Cafe,135
New Zealand,Continental,18
Chile,Nikkei,1
Chile,Bakery,1
Chile,Bar Food,7
Chile,Home-made,1
Chile,American,3
Chile,Steak,2
Chile,Spanish,3
Chile,Chilean,3
Chile,Fast Food,1
Chile,Italian,9
Chile,Thai,1
Chile,Contemporary,2
Chile,Japanese,2
Chile,Asian,1
Chile,Indian,1
Chile,Grill,1
Chile,Sandwich,11
Chile,Burger,4
Chile,Sushi,2
Chile,Peruvian,6
Chile,French,2
Chile,International,1
Chile,Vietnamese,1
